date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:50	39797/39797	---MC-	200	added ('OK')	text/html	date:Sat,%2028%20Nov%202020%2017:30:47%20GMT	http://localhost/marketnow/	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.html	(from )
13:30:50	1028/1028	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Nov%202020%2017:30:46%20GMT	http://localhost/robots.txt		(from )
13:30:50	53907/53907	---M--	200	added ('OK')	text/css	etag:%22d293-5addfb6b23d80%22	http://localhost/marketnow/wp-includes/css/dist/block-library/style.min.css?ver=5.5.3	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-includes/css/dist/block-library/style.min5697.css	(from http://localhost/marketnow/)
13:30:54	121087/121087	---M--	200	added ('OK')	text/css	etag:%221d8ff-5b52cbcb04bb9%22	http://localhost/marketnow/wp-content/themes/twentytwenty/style.css?ver=1.5	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-content/themes/twentytwenty/style7ef2.css	(from http://localhost/marketnow/)
13:30:56	1951/1951	---M--	200	added ('OK')	application/rss+xml	etag:%2238091838c5d768db3f2f7059f0b80a0b%22	http://localhost/marketnow/index.php/feed/	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/feed/index.html	(from http://localhost/marketnow/)
13:30:56	1729/1729	---M--	200	added ('OK')	application/rss+xml	etag:%2208dc68f02b2a2eb8c64af3a8c6ab2cfd%22	http://localhost/marketnow/index.php/comments/feed/	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/comments/feed/index.html	(from http://localhost/marketnow/)
13:30:56	2574/2574	---M--	200	added ('OK')	text/css	etag:%22a0e-5971146c35d40%22	http://localhost/marketnow/wp-content/themes/twentytwenty/print.css?ver=1.5	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-content/themes/twentytwenty/print7ef2.css	(from http://localhost/marketnow/)
13:30:56	25570/25570	---M--	200	added ('OK')	application/x-javascript	etag:%2263e2-5a882f9941680%22	http://localhost/marketnow/wp-content/themes/twentytwenty/assets/js/index.js?ver=1.5	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-content/themes/twentytwenty/assets/js/index7ef2.js	(from http://localhost/marketnow/)
13:31:00	832/832	---M--	200	added ('OK')	text/xml	date:Sat,%2028%20Nov%202020%2017:30:58%20GMT	http://localhost/marketnow/xmlrpc.php?rsd	/home/miguel/websites/MrRobot%20/localhost/marketnow/xmlrpc0db0.php	(from http://localhost/marketnow/)
13:31:00	10366/10366	---MC-	200	added ('OK')	application/json	date:Sat,%2028%20Nov%202020%2017:30:56%20GMT	http://localhost/marketnow/index.php/wp-json/wp/v2/pages/28	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/wp-json/wp/v2/pages/28.json	(from http://localhost/marketnow/)
